scale,era,warning_lead_mo,false_broad
0.8,1990-91,11.0,
0.8,2001,3.0,
0.8,2007-09,3.0,
0.8,2020,,
0.8,1998 LTCM (FP window),,False
0.8,2011 debt ceiling / Europe (FP window),,False
0.8,2015-16 industrial recession (FP window),,False
0.8,2022 rate shock (FP window),,False
1.2,1990-91,,
1.2,2001,0.0,
1.2,2007-09,0.0,
1.2,2020,,
1.2,1998 LTCM (FP window),,False
1.2,2011 debt ceiling / Europe (FP window),,False
1.2,2015-16 industrial recession (FP window),,False
1.2,2022 rate shock (FP window),,False
