date,i01,i01_q,i02,i02_q,i03,i03_q,i04,i04_q,i05,i05_q,i06,i06_q,i07,i07_q,i08,i08_q,i09,i09_q,i10,i10_q,i11,i11_q,i12,i12_q,i13,i13_q,i14,i14_q,i15,i15_q,i16,i16_q,i17,i17_q,i18,i18_q,i19,i19_q,i20,i20_q
1988-01-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,1.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-02-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,1.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-03-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,1.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-04-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,1.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-05-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-06-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-07-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-08-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-09-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-10-01,0,M,,missing,0,M,1,B,,missing,,missing,1,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-11-01,0,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1988-12-01,0,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-01-01,0,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-02-01,0,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-03-01,0,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-04-01,0,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-05-01,0,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-06-01,0,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-07-01,1,M,,missing,0,M,1,B,,missing,,missing,0,M,1.0,B,0.0,V,0.0,B,1.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-08-01,1,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,1,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-09-01,1,M,,missing,0,M,1,B,,missing,,missing,0,M,1.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-10-01,1,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-11-01,1,M,,missing,0,M,1,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,1.0,B,0,B,,missing,1,B,1.0,B,0.0,B,0,M,,missing,,missing,,missing
1989-12-01,1,M,,missing,0,M,0,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,missing,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-01-01,1,M,,missing,0,M,0,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,short,1,B,1.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-02-01,1,M,,missing,0,M,0,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,short,1,B,1.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-03-01,1,M,,missing,0,M,0,B,,missing,,missing,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,short,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-04-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,,short,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-05-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,0.0,B,0.0,V,0.0,B,1.0,B,0,B,,short,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-06-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,0,B,,short,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-07-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,0,B,,short,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-08-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,0,B,,short,1,B,0.0,B,0.0,B,0,M,,missing,,missing,,missing
1990-09-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,0,B,,short,1,B,0.0,B,1.0,B,0,M,,missing,,missing,,missing
1990-10-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,0,B,,short,1,B,0.0,B,1.0,B,0,M,,missing,,missing,,missing
1990-11-01,1,M,,missing,0,M,1,B,,missing,1.0,B,1,M,1.0,B,0.0,V,1.0,B,1.0,B,0,B,,short,1,B,1.0,B,1.0,B,1,M,,missing,,missing,,missing
1990-12-01,1,M,,missing,0,M,1,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,1,B,,short,1,B,1.0,B,1.0,B,1,M,,missing,,missing,,missing
1991-01-01,1,M,,missing,0,M,1,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,1,B,,short,1,B,1.0,B,1.0,B,1,M,,short,,short,,missing
1991-02-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,1,B,0.0,B,1,B,1.0,B,1.0,B,1,M,,short,,short,,missing
1991-03-01,1,M,,missing,0,M,0,B,,missing,1.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,1,B,1.0,B,1,B,1.0,B,1.0,B,1,M,,short,,short,,missing
1991-04-01,1,M,,missing,0,M,0,B,,missing,0.0,B,0,M,1.0,B,0.0,V,1.0,B,1.0,B,1,B,1.0,B,1,B,1.0,B,1.0,B,1,M,1.0,B,,short,,missing
1991-05-01,1,M,,missing,0,M,0,B,,missing,0.0,B,0,M,1.0,B,1.0,V,1.0,B,0.0,B,1,B,1.0,B,1,B,1.0,B,1.0,B,1,M,1.0,B,,short,,missing
1991-06-01,1,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,1.0,V,1.0,B,0.0,B,1,B,1.0,B,1,B,1.0,B,1.0,B,1,M,1.0,B,,short,,missing
1991-07-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,1.0,V,1.0,B,1.0,B,1,B,1.0,B,1,B,0.0,B,1.0,B,1,M,0.0,B,1.0,B,,missing
1991-08-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,1.0,V,1.0,B,1.0,B,1,B,1.0,B,1,B,0.0,B,1.0,B,1,M,0.0,B,1.0,B,,missing
1991-09-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,1.0,V,1.0,B,0.0,B,1,B,1.0,B,1,B,0.0,B,1.0,B,1,M,0.0,B,1.0,B,,missing
1991-10-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,1.0,V,1.0,B,0.0,B,1,B,0.0,B,1,B,0.0,B,1.0,B,1,M,0.0,B,0.0,B,,missing
1991-11-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,1.0,V,1.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,1.0,B,1,M,0.0,B,0.0,B,,missing
1991-12-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,1.0,B,1.0,V,1.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,missing
1992-01-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,1.0,B,0.0,V,1.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-02-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,1.0,B,0.0,V,1.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-03-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,1.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-04-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-05-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-06-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-07-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-08-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-09-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-10-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-11-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,1,M,0.0,B,0.0,B,,short
1992-12-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,0,M,0.0,B,0.0,B,,short
1993-01-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,0,M,0.0,B,0.0,B,,short
1993-02-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,0,M,0.0,B,0.0,B,0.0,B
1993-03-01,0,M,,missing,0,M,0,B,,missing,0.0,B,0,M,0.0,B,0.0,V,0.0,B,0.0,B,0,B,0.0,B,1,B,0.0,B,0.0,B,0,M,0.0,B,0.0,B,0.0,B
